hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,,7943,23266444,13588519
102100,203,,7946,31014400,15704142
201319,204,,7947,1945984,708064
103100,303,,7950,34181451,17765183
103101,304,,7951,12636974,4965187
103102,305,,7952,3793439,1681281
103103,306,,7953,1849742,443007
103104,307,,7954,1223308,259197
104100,403,,7958,20352973,12755945
104101,404,,7959,1467454,309145
104103,406,,7961,9410121,5120478
104104,407,,7962,1472137,309483
105100,503,,7965,19512169,14253415
105101,504,,7966,21773376,14295737
105102,505,,7967,12541926,6215066
105103,506,,7968,4184741,1368385
105104,507,,7969,2042694,620558
105105,508,,7970,1307442,339134
105106,509,,7971,1247041,362874
105107,5010,,7972,1573996,596296
105108,5011,,7973,2112458,665623
106100,603,,7976,36973674,24846610
106103,604,,7977,9357523,5594916
106104,605,,7978,3964623,1588867
106105,606,,7979,1686724,543815
106102,607,,7980,8789874,4804840
107100,703,,7984,38140479,32785216
107101,704,,7985,13712459,8749505
107102,705,,7986,11585244,4879390
107103,706,,7987,3438601,1005665
107110,707,,7988,1863197,390795
107104,708,,7989,3505195,939681
107105,709,,7990,2830272,1060031
107106,7010,,7991,1422292,542322
107107,7011,,7992,1043430,253619
107108,7012,,7993,2261568,974464
107109,7013,,7994,3323533,1475095
108100,803,,7997,12632984,6005067
108101,804,,7998,10313283,5587651
108102,805,,7999,1971296,670000
108104,806,,8000,889887,357443
108105,807,,8001,5570521,1792998
115100,903,,8007,33339723,27476049
115101,904,,8008,1643908,447848
115102,905,,8009,949830,295267
115103,906,,8010,1372965,370964
115104,907,,8011,3726959,4045923
115105,908,,8012,2404594,1093028
115106,909,,8013,903193,280890
115107,9010,,8014,9767850,5395003
115108,9011,,8015,1326114,443768
115109,9012,,8016,1056774,335801
115110,9013,,8017,5495172,3183172
115111,9014,,8018,623594,213167
115112,9015,,8019,1222627,578666
115113,9016,,8020,762542,217438
115114,9017,,8021,733184,212170
116100,1003,,8024,18274442,12635210
116101,1004,,8025,1304685,330241
116102,1005,,8026,2385462,570834
116103,1006,,8027,981743,295254
116104,1007,,8028,1047765,232525
116105,1008,,8029,35861911,23288670
116106,1009,,8030,996980,244431
116107,10010,,8031,3453889,1357716
116108,10011,,8032,14920324,6375037
116109,10012,,8033,2764673,919928
116110,10013,,8034,3796730,1265376
116111,10014,,8035,4814350,1372799
116112,10015,,8036,990658,301767
117101,1103,,8039,33178717,18710918
117102,1104,,8040,8983856,4249254
117103,1105,,8041,2340220,834792
117104,1106,,8042,1871674,729869
117106,1107,,8043,1991074,687666
117108,1108,,8044,2160202,738929
117107,1109,,8045,1797215,765458
118100,1203,,8050,62070518,46380000
118103,1204,,8051,5320048,4596255
118105,1205,,8052,9052656,2431086
118106,1206,,8053,7235644,2304845
118107,1207,,8054,1546159,499247
118108,1208,,8055,1212216,384177
119100,1303,,8060,33139909,24348725
119101,1304,,8061,6074151,1987281
119102,1305,,8062,3396616,1324178
120107,1404,,8067,2320356,1063916
120105,1405,,8068,36598988,27082138
120101,1406,,8069,2874238,1288946
120102,1407,,8070,2469641,983817
120103,1408,,8071,1972160,815645
120104,1409,,8072,2079631,910244
120106,14010,,--,--,--
128113,1503,,8075,4806908,2384934
128111,1504,,8076,7540067,2794406
128112,1505,,8077,1237499,493072
128109,1506,,8078,10536783,3854255
128110,1507,,8079,3856646,1290275
129100,1603,,8082,10826403,4125447
129106,1604,,8083,11768822,5219744
129104,1605,,8084,3331693,1028086
129103,1606,,8085,2387735,798340
129101,1607,,8086,1710076,561911
129107,1608,,8087,2005614,726779
