hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,,8223,42922115,24693228
102100,203,,8226,69650615,30766623
201319,204,,8227,4226305,13766
103100,303,,8230,84757807,74341955
103101,304,,8231,33706499,15189621
103102,305,,8232,6347550,2730527
103103,306,,8233,3571090,874097
103104,307,,8234,3016119,1115503
104100,403,,8239,38174508,22686348
104101,404,,8240,2399633,650466
104103,406,,8242,17875106,10722838
104104,407,,8243,2519341,551218
105100,503,,8246,51816134,40208608
105101,504,,8247,51864868,35834559
105102,505,,8248,41490617,22112593
105103,506,,8249,10790253,5137080
105104,507,,8250,4602585,2526598
105105,508,,8251,2768249,912414
105106,509,,8252,2508823,1013942
105107,5010,,8253,3195257,1187369
105108,5011,,8254,5042640,1884281
106100,603,,8257,69178333,39775559
106103,604,,8258,19582044,11610618
106104,605,,8259,7422090,2838808
106105,606,,8260,3707878,1484002
106102,607,,8261,17569066,8641335
107100,703,,8265,80013989,67552270
107101,704,,8266,35369421,21169979
107102,705,,8267,23886377,10638970
107103,706,,8268,6020667,1693382
107110,707,,8269,3501803,840663
107104,708,,8270,7232895,1712654
107105,709,,8271,5996011,1590050
107106,7010,,8272,2890839,857095
107107,7011,,8273,1754872,432884
107108,7012,,8274,5354127,2298499
107109,7013,,8275,6672845,2258238
108100,803,,8278,25857319,14172228
108101,804,,8279,20287011,11798041
108102,805,,8280,3701756,1170624
108104,806,,8281,1976464,681116
108105,807,,8282,9192478,2859797
115100,903,,8290,79541637,46163857
115101,904,,8291,3871665,1092633
115102,905,,8292,2228842,551402
115103,906,,8293,3080347,980550
115104,907,,8294,12528344,11793349
115105,908,,8295,5929098,2305418
115106,909,,8296,1630935,472091
115107,9010,,8297,23699877,14806199
115108,9011,,8298,3493869,1231982
115109,9012,,8299,2099162,530407
115110,9013,,8300,13149774,7916769
115111,9014,,8301,1599871,542520
115112,9015,,8302,3153348,1265442
115113,9016,,8303,1677734,391016
115114,9017,,8304,1746541,558022
116100,1003,,8307,38966175,31452244
116101,1004,,8308,3292168,1116158
116102,1005,,8309,4225415,2746386
116103,1006,,8310,2120468,816168
116104,1007,,8311,2252641,622316
116105,1008,,8312,82284160,53796891
116106,1009,,8313,2280161,668666
116107,10010,,8314,6989225,2362945
116108,10011,,8315,29082767,17515872
116109,10012,,8316,6805178,2969316
116110,10013,,8317,7637547,2887766
116111,10014,,8318,9376096,3274858
116112,10015,,8319,2466102,704833
117101,1103,,8322,67086979,39504125
117102,1104,,8323,19891677,11672568
117103,1105,,8324,5423155,2908195
117104,1106,,8325,4212053,1918833
117106,1107,,8326,3726640,1851637
117108,1108,,8327,4419668,2390008
117107,1109,,8328,3469626,1750560
118100,1203,,8333,127578700,87878932
118103,1204,,8334,13002359,9056186
118105,1205,,8335,19751846,5154762
118106,1206,,8336,14646964,5789253
118107,1207,,8337,3043833,952929
118108,1208,,8338,3276281,1080647
119100,1303,,8343,69044694,53059484
119101,1304,,8344,14873016,5335271
119102,1305,,8345,13716514,6658513
120107,1404,,8350,3496183,1315676
120105,1405,,8351,4728598,2388538
120101,1406,,8352,75474803,61963417
120102,1407,,8353,6123797,2393503
120103,1408,,8354,4623176,1712272
120104,1409,,8355,4251900,1519099
120106,14010,,8356,4092773,1563457
128113,1503,,8359,9698140,4386098
128111,1504,,8360,14020130,5219507
128112,1505,,8361,2793468,1277608
128109,1506,,8362,24871065,13055827
128110,1507,,8363,8810480,2891183
129100,1603,,8366,30662225,12771990
129106,1604,,8367,23215213,10466930
129104,1605,,8368,6185250,2124025
129103,1606,,8369,4210546,1485777
129101,1607,,8370,2808140,947623
129107,1608,,8371,3705949,1330055
129108,1609,,8372,2823746,737039
121113,1704,,8376,3919651,2020819
121114,1705,,8377,16771494,13311407
121121,1706,,8378,12411963,6085761
121115,1707,,8379,4164572,1558191
121119,1708,,8380,2922988,1061861
121117,1709,,8381,13182738,6274878
121116,17010,,8382,2914670,1249080
121118,17011,,8383,2545656,1016606
121111,17012,,8384,2914903,992913
121110,17013,,8385,12934804,8114398
121120,17014,,8386,3635585,1678771
121112,17015,,8387,2609970,1040561
121109,17016,,8388,91951463,77525475
200717,17017,,8389,24015018,13449387
122100,1803,,8392,66079565,44040020
122101,1804,,8393,2205245,721380
122102,1805,,8394,2406544,787988
122103,1806,,8395,4218488,1120510
122104,1807,,8396,7732003,2230320
122105,1808,,8397,4477092,1154767
122106,1809,,8398,3439740,756122
122200,18011,,8400,3342144,945710
123100,1903,,8403,54908331,31886964
123103,1904,,8404,2364969,731148
123101,1905,,8405,4375134,1978012
123102,1906,,8406,3202188,737549
123105,1908,,8408,1737255,505402
124130,2003,,8411,6524263,2190035
124120,2005,,8413,3082276,1475399
124115,2006,,8414,2877730,1262174
124145,2007,,8415,2638795,942241
124110,2008,,8416,2198834,1154848
124125,2009,,8417,2327906,1118536
124140,20010,,8418,1765114,524021
124105,20011,,8419,88219505,62903101
125104,2104,,8425,2418304,600743
125102,2105,,8426,2790991,948533
125103,2106,,8427,4484932,1280891
125100,2107,,8428,42425817,24361359
125101,2108,,8429,16187884,8144047
126102,2203,,8434,3834398,1716482
126101,2204,,8435,15416561,5813574
126100,2205,,8436,54217023,31661692
126704,22012,,8443,1775612,709400
112103,2303,,8446,18719144,27486883
