idEstablecimiento,X08221000,X08221100,X08021403,X08180206,X08180207,X08220001,X08220002,X08220003,X08220005,X08222630
128109,0,0,0,42218,4306,0,0,0,0,0
128110,0,0,0,0,0,38240,20,1983,34,263
128111,0,0,0,0,0,49195,146,1158,17,0
128112,0,0,0,0,0,10892,0,369,0,0
128113,0,0,0,0,0,39539,2,1462,2,113
129100,78574,4723,2253,0,0,0,0,0,0,0
129101,0,0,0,0,0,18238,889,636,1913,0
129103,0,0,0,0,0,55704,5479,5277,3466,0
129104,0,0,0,44051,2323,0,0,0,0,0
129106,58965,4411,4602,0,0,0,0,0,0,0
129107,0,0,0,0,0,23109,430,1791,0,0
129108,0,0,0,0,0,7977,37,480,16,0
133150,46764,4030,2412,0,0,0,0,0,0,0
133155,0,0,0,50881,3935,0,0,0,0,0
133160,0,0,0,0,0,7965,0,413,0,0
133165,0,0,0,0,0,34261,0,2626,0,0
133170,0,0,0,0,0,7329,0,0,0,0
200076,0,0,0,0,0,601,0,1,29,0
200717,0,0,0,0,0,0,0,0,0,0
