hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,,8055,27302702,16966132
102100,203,,8058,39576665,19423838
201319,204,,8059,2226958,1011132
103100,303,,8062,41466624,28430399
103101,304,,8063,14710851,8314550
103102,305,,8064,4049197,2103232
103103,306,,8065,2155770,700093
103104,307,,8066,1390254,454774
104100,403,,8070,24403896,15096365
104101,404,,8071,1546859,380363
104103,406,,8073,11316177,6193082
104104,407,,8074,1526596,360098
105100,503,,8077,26192709,19649343
105101,504,,8078,27329383,18369938
105102,505,,8079,15999566,8962984
105103,506,,8080,5409353,1695261
105104,507,,8081,2575713,1070638
105105,508,,8082,1604753,523762
105106,509,,8083,1449198,556686
105107,5010,,8084,1885435,698929
105108,5011,,8085,2636939,875642
106100,603,,8088,45034968,28639461
106103,604,,8089,11398652,6553893
106104,605,,8090,4865964,1814877
106105,606,,8091,1926544,657964
106102,607,,8092,11017215,5116721
107100,703,,8096,47220040,39855547
107101,704,,8097,17561446,11696213
107102,705,,8098,15153635,6848820
107103,706,,8099,4478205,1189189
107110,707,,8100,2360204,525669
107104,708,,8101,4535069,1404222
107105,709,,8102,3935995,1041908
107106,7010,,8103,1697264,615892
107107,7011,,8104,1279618,331934
107108,7012,,8105,2867275,1318020
107109,7013,,8106,4411226,1685730
108100,803,,8109,15380150,7885000
108101,804,,8110,12694027,6739997
108102,805,,8111,2427118,728749
108104,806,,8112,1382143,400000
108105,807,,8113,6648878,2157145
115100,903,,8119,46631674,35042623
115101,904,,8120,2454607,653952
115102,905,,8121,1360848,398567
115103,906,,8122,1947473,570824
115104,907,,8123,5273624,8742909
115105,908,,8124,3316482,1966199
115106,909,,8125,1282028,402992
115107,9010,,8126,12580936,8748584
115108,9011,,8127,1821007,653149
115109,9012,,8128,1335976,421804
115110,9013,,8129,7189468,5738974
115111,9014,,8130,994106,299483
115112,9015,,8131,1693189,839167
115113,9016,,8132,1023941,323380
115114,9017,,8133,1065550,293664
116100,1003,,8136,22796232,16272144
116101,1004,,8137,1891344,408832
116102,1005,,8138,3014485,658548
116103,1006,,8139,1247204,400876
116104,1007,,8140,1316139,416666
116105,1008,,8141,51581216,31019580
116106,1009,,8142,1393596,359516
116107,10010,,8143,4616951,1406665
116108,10011,,8144,18841724,9170788
116109,10012,,8145,3630080,1101493
116110,10013,,8146,4782991,1733187
116111,10014,,8147,6181051,1767449
116112,10015,,8148,1534076,410329
117101,1103,,8151,41241309,23104577
117102,1104,,8152,11675669,5955066
117103,1105,,8153,3036433,1178307
117104,1106,,8154,2310956,890710
117106,1107,,8155,2416940,942682
117108,1108,,8156,2655566,905671
117107,1109,,8157,2211330,982648
118100,1203,,8162,78370653,54640155
118103,1204,,8163,7241901,7277304
118105,1205,,8164,11113391,3137289
118106,1206,,8165,8934338,3298815
118107,1207,,8166,1769796,652405
118108,1208,,8167,1477096,550780
119100,1303,,8172,40733467,29403993
119101,1304,,8173,7790642,2800876
119102,1305,,8174,6777081,3264574
120107,1404,,8179,2040559,941302
120105,1405,,8180,3038063,1442881
120101,1406,,8181,45195181,35874466
120102,1407,,8182,3554576,1724136
120103,1408,,8183,3039480,1129548
120104,1409,,8184,2413941,980047
120106,14010,,8185,2592948,958897
128113,1503,,8188,5711346,2624744
128111,1504,,8189,8951720,3532926
128112,1505,,8190,1439240,655330
128109,1506,,8191,13143477,4632090
128110,1507,,8192,4647919,1798364
129100,1603,,8195,12865662,4963823
129106,1604,,8196,13141401,6090898
129104,1605,,8197,4037884,1329605
129103,1606,,8198,2665842,917701
