"","IdEstablecimiento","OriginalGRD","Prediction"
"1",102100,0.762,0.76794
"2",103102,-,0.66274
"3",103101,0.6249,0.5962
"4",103104,-,0.66274
"5",103100,0.8336,0.73558
"6",103103,-,0.66274
"7",104103,0.6954,0.74384
"8",104104,-,0.59214
"9",104100,0.7375,0.77654
"10",104102,-,0.59214
"11",104101,-,0.59214
"12",105105,-,0.60222
"13",105104,-,0.59214
"14",105103,-,0.5962
"15",105108,-,0.59214
"16",105102,0.6498,0.63826
"17",105107,-,0.59214
"18",105101,0.9051,0.781
"19",105100,0.8344,0.79906
"20",105106,-,0.59214
"21",107110,-,0.66274
"22",106103,0.6384,0.62202
"23",106105,-,0.66274
"24",106102,0.9779,0.74984
"25",107102,0.6471,0.69324
"26",106100,0.9198,0.88662
"27",107109,-,0.66274
"28",107100,1.0988,0.86126
"29",106104,-,0.66274
"30",107101,0.7166,0.70546
"31",107104,-,0.59214
"32",108101,0.7003,0.63826
"33",112107,-,0.66274
"34",107107,-,0.59214
"35",107105,-,0.59214
"36",108105,-,0.66274
"37",107106,-,0.59214
"38",108100,0.7715,0.769
"39",107108,-,0.59214
"40",107103,-,0.59214
"41",108104,-,0.66274
"42",108102,-,0.59214
"43",115104,-,0.6053
"44",115113,-,0.66274
"45",115108,-,0.66274
"46",115109,-,0.66274
"47",115110,0.6191,0.61146
"48",115107,0.6898,0.63826
"49",115105,-,0.5962
"50",115111,-,0.66274
"51",115112,-,0.66274
"52",115106,-,0.66274
"53",115102,-,0.66274
"54",115100,0.9524,0.93136
"55",115114,-,0.66274
"56",115101,-,0.66274
"57",115103,-,0.66274
"58",116108,0.7113,0.72326
"59",116112,-,0.66274
"60",116109,-,0.59214
"61",116105,0.9335,0.82902
"62",116107,-,0.5962
"63",116104,-,0.66274
"64",116106,-,0.66274
"65",116103,-,0.66274
"66",116101,-,0.66274
"67",116111,-,0.5962
"68",116102,-,0.59214
"69",116110,0.5988,0.59214
"70",116100,0.7573,0.72326
"71",120104,-,0.59214
"72",128112,-,0.59214
"73",128111,-,0.59214
"74",120102,-,0.59214
"75",120106,-,0.59214
"76",128110,-,0.59214
"77",120103,-,0.59214
"78",128109,0.6062,0.5962
"79",120101,0.7355,0.80904
"80",120105,-,0.59214
"81",120107,-,0.59214
"82",118107,-,0.59214
"83",128113,-,0.59214
"84",118103,-,0.66274
"85",118106,-,0.59214
"86",119101,-,0.59214
"87",119102,-,0.59214
"88",119100,0.8561,0.85086
"89",118108,-,0.59214
"90",118100,0.9297,0.94104
"91",121110,-,0.59214
"92",121112,-,0.59214
"93",121115,-,0.59214
"94",121109,0.9018,0.88762
"95",121118,-,0.59214
"96",200717,-,0.66274
"97",121116,-,0.59214
"98",121121,-,0.5962
"99",121119,-,0.59214
"100",121120,-,0.59214
"101",121113,-,0.59214
"102",121114,0.7039,0.71158
"103",129107,-,0.66274
"104",129108,-,0.66274
"105",129104,-,0.59214
"106",121111,-,0.59214
"107",129100,0.6218,0.60814
"108",121117,-,0.59214
"109",129101,-,0.66274
"110",129103,-,0.66274
"111",129106,0.6693,0.62408
"112",123105,-,0.66274
"113",123104,-,0.66274
"114",123100,0.7894,0.78322
"115",123102,-,0.66274
"116",123101,-,0.59214
"117",123103,-,0.66274
"118",124115,-,0.66274
"119",124120,-,0.66274
"120",124110,-,0.66274
"121",124105,0.8256,0.79308
"122",124130,-,0.59214
"123",124125,-,0.59214
"124",133150,0.7484,0.71158
"125",133170,-,0.66274
"126",200076,-,0.66274
"127",133165,-,0.59214
"128",124145,-,0.66274
"129",124140,-,0.66274
"130",133160,-,0.59214
"131",133155,-,0.5962
"132",125103,-,0.66274
"133",125104,-,0.66274
"134",125102,-,0.66274
"135",125100,0.8206,0.77502
"136",125101,-,0.59214
"137",126101,-,0.59214
"138",126100,0.7861,0.75638
"139",126102,-,0.66274
"140",126704,-,0.66274
"141",109103,-,0.66274
"142",111195,1.156,0.86562
"143",114104,-,0.66274
"144",113130,1.0307,0.9064
"145",113100,0.9179,0.91716
"146",113160,-,0.74984
"147",112101,0.707,0.77876
"148",111101,0.7419,0.70734
"149",114105,-,0.71158
"150",114103,0.6996,0.78072
"151",114101,0.8965,0.91946
"152",113170,-,0.66274
"153",113180,0.6947,0.76706
"154",110140,-,0.5962
"155",114102,-,0.66274
"156",110130,0.6417,0.6728
"157",110150,0.5941,0.62202
"158",113150,0.5687,0.60006
"159",110100,0.972,0.88038
"160",112103,1.7111,1.28592
"161",111100,0.8623,0.93002
"162",109104,-,0.66274
"163",109100,0.7493,0.78506
"164",109101,1.0343,0.9064
"165",110120,0.7544,0.7786
"166",110160,-,0.66274
"167",109102,-,0.66274
"168",112104,1.759,0.9749
"169",112102,1.2133,0.93354
"170",112106,-,0.66274
"171",110110,-,0.66274
"172",112105,-,0.66274
"173",112100,1.139,0.87942
"174",122103,-,0.59214
"175",122104,-,0.5962
"176",122106,-,0.59214
"177",122105,-,0.59214
"178",122102,-,0.59214
"179",122100,0.8414,0.86756
"180",122200,-,0.61632
"181",122101,-,0.66274
"182",101100,0.7313,0.83456
"183",117104,-,0.59214
"184",117106,-,0.59214
"185",117102,0.658,0.60814
"186",117108,-,0.59214
"187",117101,0.7826,0.77942
"188",117103,-,0.59214
"189",117107,-,0.59214
"190",111351,-,0.66274
"191",113190,-,0.72256
"192",114204,-,0.66274
"193",118105,0.5621,0.5962
"194",121200,-,0.59214
"195",121201,-,0.59214
"196",122201,-,0.59214
"197",124380,-,0.66274
