hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,,7943,19779705,10982608
102100,203,,7946,27881106,15394204
201319,204,,7947,1775422,610726
103100,303,,7950,29969438,15065061
103101,304,,7951,11358890,3408115
103102,305,,7952,3524477,1380911
103103,306,,7953,1621675,417126
103104,307,,7954,1016256,196916
104100,403,,7958,17876433,11031162
104101,404,,7959,1280929,251949
104103,406,,7961,8586874,4424424
104104,407,,7962,1315483,241393
105100,503,,7965,17866865,13789596
105101,504,,7966,19796143,13948297
105102,505,,7967,11496479,5926447
105103,506,,7968,3850898,1100045
105104,507,,7969,1716332,565173
105105,508,,7970,1251524,304085
105106,509,,7971,1127535,370856
105107,5010,,7972,1397864,518195
105108,5011,,7973,1839990,561707
106100,603,,7976,33488100,20783099
106103,604,,7977,8692940,5097645
106104,605,,7978,3504183,1461452
106105,606,,7979,1473414,579158
106102,607,,7980,8286791,4369250
107100,703,,7984,33677672,29614260
107101,704,,7985,12084109,7848501
107102,705,,7986,10378035,4741308
107103,706,,7987,3022290,937068
107110,707,,7988,1604101,321429
107104,708,,7989,2993620,971351
107105,709,,7990,2529715,973515
107106,7010,,7991,1305575,467778
107107,7011,,7992,920989,200075
107108,7012,,7993,1922847,855402
107109,7013,,7994,2856757,1439798
108100,803,,7997,11765441,5672000
108101,804,,7998,9317995,4600524
108102,805,,7999,1784369,617142
108104,806,,8000,803881,272991
108105,807,,8001,5048666,1497898
115100,903,,8007,30347442,22741549
115101,904,,8008,1425715,340291
115102,905,,8009,823022,251954
115103,906,,8010,1160754,336721
115104,907,,8011,3374972,2666988
115105,908,,8012,2192949,1160451
115106,909,,8013,729578,241854
115107,9010,,8014,9245299,5289093
115108,9011,,8015,1230453,337503
115109,9012,,8016,880156,309105
115110,9013,,8017,5018987,2635254
115111,9014,,8018,543456,150431
115112,9015,,8019,1097711,431671
115113,9016,,8020,655636,163152
115114,9017,,8021,656695,174735
116100,1003,,8024,16081403,8928871
116101,1004,,8025,1193694,303249
116102,1005,,8026,2174087,557524
116103,1006,,8027,815476,281353
116104,1007,,8028,925144,226029
116105,1008,,8029,31177264,20887263
116106,1009,,8030,876120,264241
116107,10010,,8031,3316844,1348093
116108,10011,,8032,13903689,6293421
116109,10012,,8033,2474208,845440
116110,10013,,8034,3392189,1199422
116111,10014,,8035,4359270,1316284
116112,10015,,8036,872797,253630
117101,1103,,8039,28735464,16902304
117102,1104,,8040,7668872,3162510
117103,1105,,8041,2102902,734077
117104,1106,,8042,1636766,584506
117106,1107,,8043,1716576,570345
117108,1108,,8044,1875275,607921
117107,1109,,8045,1480085,629967
118100,1203,,8050,55487227,37066446
118103,1204,,8051,4004737,3472658
118105,1205,,8052,8200509,2344199
118106,1206,,8053,6288824,2134860
118107,1207,,8054,1378305,459485
118108,1208,,8055,1074593,338578
119100,1303,,8060,29827847,23901859
119101,1304,,8061,5466781,1582529
119102,1305,,8062,2924204,1046682
120107,1404,,8067,2039733,644825
120105,1405,,8068,32362178,23293753
120101,1406,,8069,2502961,1128802
120102,1407,,8070,2177548,754664
120103,1408,,8071,1752381,666560
120104,1409,,8072,1792294,767432
120106,14010,,--,--,--
128113,1503,,8075,4096603,2132957
128111,1504,,8076,6227583,2712678
128112,1505,,8077,1132907,475923
128109,1506,,8078,9087051,3257555
128110,1507,,8079,3466365,1352258
129100,1603,,8082,9588953,3670300
129106,1604,,8083,10360750,4029868
129104,1605,,8084,3081988,827614
129103,1606,,8085,2017281,704875
129101,1607,,8086,1316939,503494
129107,1608,,8087,1705777,703795
129108,1609,,8088,1415537,410079
121113,1704,,8092,1186048,464670
121114,1705,,8093,5245122,3541823
121121,1706,,8094,4316058,2118275
121115,1707,,8095,1383949,487190
121119,1708,,8096,1194266,577849
121117,1709,,8097,2642676,1908031
121116,17010,,8098,1204956,383098
121118,17011,,8099,1145284,374470
121111,17012,,8100,1072684,364654
121110,17013,,8101,2485946,1719687
121120,17014,,8102,1588457,548101
121112,17015,,8103,983765,482543
121109,17016,,8104,44373041,34521992
200717,17017,,--,--,--
122100,1803,,8107,29390236,19357425
122101,1804,,8108,1082169,283485
122102,1805,,8109,1039145,295965
122103,1806,,8110,1349312,320968
122104,1807,,8111,3073399,1106223
122105,1808,,8112,2047291,587707
122106,1809,,8113,1523254,306835
122200,18011,,--,--,--
123100,1903,,8117,26647630,14705748
123103,1904,,8118,1254026,302193
123101,1905,,8119,1910483,951940
123102,1906,,8120,1541113,234731
123105,1908,,8122,508340,136619
124130,2003,,8125,2639811,722697
124120,2005,,8127,1271715,412620
124115,2006,,8128,1197612,384935
124145,2007,,8129,762203,219479
124110,2008,,8130,933483,264105
124125,2009,,8131,965407,363375
124140,20010,,8132,764169,322825
124105,20011,,8133,32068330,21406747
125104,2104,,8138,1209127,224624
125102,2105,,8139,1291728,175757
125103,2106,,8140,1253458,233268
125100,2107,,8141,19606460,9216381
125101,2108,,8142,4949976,1507570
126102,2203,,8147,1202626,348448
126101,2204,,8148,2965203,1160649
126100,2205,,8149,23263245,11833050
126704,22012,,--,--,--
112103,2303,,8158,8552125,12167125
112102,2304,,8159,17279946,19458379
112101,2305,,8160,14654696,10264670
112100,2306,,8161,27201643,39817772
112106,2307,,8162,2660008,911812
112104,2308,,8163,8477152,7902159
112105,2309,,8164,2126196,1105545
112107,23010,,8165,2244001,1655130
114104,23011,,--,--,--
111195,2405,,8170,30860242,15144001
111100,2404,,8169,40032564,36260229
111101,2406,,8171,19066734,15565728
111351,3001,,8206,24929729,16389881
113100,2503,,8174,46555512,33283909
113160,2504,,8175,3310527,9858314
113130,2505,,8176,13113697,6688299
113150,2506,,8177,6293464,2001783
113170,2507,,8178,3677253,1288354
113180,2508,,8179,17687095,9572895
109104,2604,,8183,1379965,336283
109101,2605,,8184,20226433,9119011
109100,2606,,8185,36250582,29896273
109103,2607,,8186,6557541,6821145
