hospital_id,hospital_fns_id,region,row_index,21_value,22_value
114103,2807,,8406,44439206,36844792
133150,3202,,--,--,--
133165,3203,,--,--,--
133160,3204,,--,--,--
133170,3205,,--,--,--
133155,3206,,--,--,--
123104,1907,,8320,1373061,620811
104102,405,,8156,1691434,420132
133150,3302,,8413,20439755,7013895
133165,3303,,8414,4854685,1790555
133160,3304,,8415,2225547,413798
133170,3305,,8416,1297726,256792
133155,3306,,8417,11701133,4156615
111351,3101,,8410,4696957,3375332
