hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,,8223,39905799,24127007
102100,203,,8226,65722852,28506829
201319,204,,8227,2544278,974653
103100,303,,8230,80664643,79152302
103101,304,,8231,31993071,13260920
103102,305,,8232,6071642,2443370
103103,306,,8233,3440384,831993
103104,307,,8234,2803591,801495
104100,403,,8239,37184911,23978052
104101,404,,8240,2249417,643269
104103,406,,8242,16695112,8907078
104104,407,,8243,2115903,477381
105100,503,,8246,49306395,34084510
105101,504,,8247,47879940,32793232
105102,505,,8248,36064822,20293925
105103,506,,8249,10298785,4918796
105104,507,,8250,4212033,2084621
105105,508,,8251,2612516,800688
105106,509,,8252,2382372,815680
105107,5010,,8253,2932415,1048380
105108,5011,,8254,4556360,1622656
106100,603,,8257,65324704,32905612
106103,604,,8258,19328081,11762786
106104,605,,8259,6870114,2203294
106105,606,,8260,3986480,1362365
106102,607,,8261,16857696,8545169
107100,703,,8265,73961728,55759352
107101,704,,8266,27726355,16587744
107102,705,,8267,21626622,9267415
107103,706,,8268,5809630,1473711
107110,707,,8269,3432740,714632
107104,708,,8270,7344006,1596110
107105,709,,8271,5670822,1317842
107106,7010,,8272,2849286,717549
107107,7011,,8273,1767461,319487
107108,7012,,8274,5027173,2019893
107109,7013,,8275,6331995,1885089
108100,803,,8278,24392234,11555045
108101,804,,8279,19449988,10086527
108102,805,,8280,3504701,966862
108104,806,,8281,1826949,635667
108105,807,,8282,8047742,2398591
115100,903,,8290,74466883,44797561
115101,904,,8291,3717541,1091850
115102,905,,8292,2134025,572057
115103,906,,8293,2893517,850054
115104,907,,8294,10531674,12676982
115105,908,,8295,5366092,2390099
115106,909,,8296,1594465,480005
115107,9010,,8297,20730938,16717200
115108,9011,,8298,3274563,1243265
115109,9012,,8299,1991559,430899
115110,9013,,8300,11836096,8143405
115111,9014,,8301,1504267,505666
115112,9015,,8302,2798135,1431841
115113,9016,,8303,1591494,431984
115114,9017,,8304,1611618,461785
116100,1003,,8307,33387824,28978004
116101,1004,,8308,3052634,1068918
116102,1005,,8309,4049590,3359850
116103,1006,,8310,2001663,714095
116104,1007,,8311,2171264,584782
116105,1008,,8312,79017763,48483608
116106,1009,,8313,2081601,598512
116107,10010,,8314,6418471,2175194
116108,10011,,8315,27557520,16312121
116109,10012,,8316,5897171,2685101
116110,10013,,8317,7217691,2855607
116111,10014,,8318,8822251,2949986
116112,10015,,8319,2231030,685407
117101,1103,,8322,64636530,32782736
117102,1104,,8323,18438656,9308849
117103,1105,,8324,4949334,2554798
117104,1106,,8325,3882602,1691679
117106,1107,,8326,3639416,1713324
117108,1108,,8327,3984045,2062686
117107,1109,,8328,3259171,1474523
118100,1203,,8333,121672399,76588191
118103,1204,,8334,12327685,9515745
118105,1205,,8335,17671078,4915692
118106,1206,,8336,13807437,5054819
