hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,,8223,50334232,30252055
102100,203,,8226,77818223,34267299
201319,204,,8227,9905087,4541493
103100,303,,8230,91389907,63882824
103101,304,,8231,37079367,17936386
103102,305,,8232,6931367,2897737
103103,306,,8233,4020419,1137899
103104,307,,8234,3337842,1249733
104100,403,,8239,43676488,27645948
104101,404,,8240,2754175,656350
104103,406,,8242,20378997,12109016
104104,407,,8243,3575263,917987
105100,503,,8246,64527015,41520768
105101,504,,8247,61059424,36870714
105102,505,,8248,48304598,22819684
105103,506,,8249,13058420,5212870
105104,507,,8250,5486279,2535358
105105,508,,8251,3251524,966437
105106,509,,8252,2956519,1081930
105107,5010,,8253,3705620,1307468
105108,5011,,8254,6060648,2195381
106100,603,,8257,76905513,46923389
106103,604,,8258,24540562,17713791
106104,605,,8259,8679027,3480904
106105,606,,8260,4436157,1949865
106102,607,,8261,19990003,10046251
107100,703,,8265,97604252,70599590
107101,704,,8266,46900703,29061014
107102,705,,8267,29019704,13271034
107103,706,,8268,7078084,1809186
107110,707,,8269,4215978,945620
107104,708,,8270,8505266,2019898
107105,709,,8271,7127941,1652854
107106,7010,,8272,3470747,964335
107107,7011,,8273,2152462,642478
107108,7012,,8274,6508270,2486074
107109,7013,,8275,7794622,2680958
108100,803,,8278,29582629,19500080
108101,804,,8279,23193321,14376406
108102,805,,8280,4209056,1296089
108104,806,,8281,2337388,807009
108105,807,,8282,10985190,3233448
115100,903,,8290,88292615,56541939
115101,904,,8291,4348571,1028824
115102,905,,8292,2650858,560624
115103,906,,8293,3479855,1013780
115104,907,,8294,14157338,9999542
115105,908,,8295,7002968,2535882
115106,909,,8296,1941286,455068
115107,9010,,8297,26790477,14910482
115108,9011,,8298,4140591,1144269
115109,9012,,8299,2359288,542267
115110,9013,,8300,15032927,9407642
115111,9014,,8301,1805751,547315
115112,9015,,8302,3518543,1295887
115113,9016,,8303,1876002,416410
115114,9017,,8304,2001027,585726
116100,1003,,8307,46205955,39639478
116101,1004,,8308,3925097,1182568
116102,1005,,8309,4670463,2884684
116103,1006,,8310,2791571,975449
116104,1007,,8311,2827386,600384
116105,1008,,8312,93293364,65555488
116106,1009,,8313,2634787,785210
116107,10010,,8314,8231936,2785614
116108,10011,,8315,32535120,20588523
116109,10012,,8316,7813079,3366236
