hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,,8195,36666453,22610577
102100,203,,8198,50593476,22542086
201319,204,,8199,2501711,812912
103100,303,,8202,72713992,58421587
103101,304,,8203,29206747,13406369
103102,305,,8204,5419740,2298437
103103,306,,8205,3123544,719698
103104,307,,8206,2504970,643609
104100,403,,8211,30935922,19262895
104101,404,,8212,2063690,463972
104103,406,,8214,14575353,7708572
104104,407,,8215,1872003,463436
105100,503,,8218,39677943,25996929
105101,504,,8219,42124891,25849170
105102,505,,8220,31545087,15982324
105103,506,,8221,9163967,2600740
105104,507,,8222,4054933,1566352
105105,508,,8223,2679766,638410
105106,509,,8224,2267631,718694
105107,5010,,8225,2868057,934793
105108,5011,,8226,4129076,1256234
106100,603,,8229,55729668,31398383
106103,604,,8230,13931330,7955457
106104,605,,8231,5909921,2149561
106105,606,,8232,2728224,1052199
106102,607,,8233,13850893,8599123
107100,703,,8237,63448444,56035495
107101,704,,8238,22939929,17201007
107102,705,,8239,19335026,10228260
107103,706,,8240,5188767,1572513
107110,707,,8241,3081170,698439
107104,708,,8242,6174844,1368945
107105,709,,8243,5222686,1394820
107106,7010,,8244,2392903,710656
107107,7011,,8245,1554672,444995
107108,7012,,8246,4233627,1933961
107109,7013,,8247,5769153,1999694
108100,803,,8250,21192911,9689381
108101,804,,8251,17133722,8979426
108102,805,,8252,3151898,901849
108104,806,,8253,1815737,632145
108105,807,,8254,7266148,2468170
115100,903,,8262,65696442,39467625
115101,904,,8263,3267190,1014422
115102,905,,8264,2006271,427440
115103,906,,8265,2615483,834382
115104,907,,8266,7948326,9232098
115105,908,,8267,4595032,2654277
115106,909,,8268,1612089,396243
115107,9010,,8269,17238737,13955989
115108,9011,,8270,3019178,1138579
115109,9012,,8271,1918566,503842
115110,9013,,8272,9713623,7557384
115111,9014,,8273,1302871,566333
115112,9015,,8274,2482698,1350888
115113,9016,,8275,1524075,430973
115114,9017,,8276,1595585,404584
116100,1003,,8279,29055962,23233345
116101,1004,,8280,2672760,906865
116102,1005,,8281,3645853,1204495
116103,1006,,8282,1800971,600566
116104,1007,,8283,2035584,432631
116105,1008,,8284,68871066,42097766
116106,1009,,8285,1951935,537271
116107,10010,,8286,6229676,1933528
116108,10011,,8287,24382729,13343015
116109,10012,,8288,5214288,2084295
116110,10013,,8289,6686323,2530205
116111,10014,,8290,8132853,2706010
116112,10015,,8291,2104051,526065
117101,1103,,8294,56105971,29989268
117102,1104,,8295,16314249,7639487
117103,1105,,8296,4106181,1729917
117104,1106,,8297,3193676,1454217
117106,1107,,8298,3225593,1166891
117108,1108,,8299,3502736,1542654
117107,1109,,8300,2994419,1218853
118100,1203,,8305,104027944,64952563
118103,1204,,8306,10270660,7989711
118105,1205,,8307,14696616,4693738
118106,1206,,8308,12278381,4027469
118107,1207,,8309,2413622,672829
118108,1208,,8310,2574675,917303
119100,1303,,8315,55960267,37508006
119101,1304,,8316,11522156,4000549
119102,1305,,8317,10718216,4492975
120107,1404,,8322,2901914,881318
120105,1405,,8323,4112173,1854248
120101,1406,,8324,61033595,49267483
120102,1407,,8325,4703254,1731443
120103,1408,,8326,3997218,1157959
120104,1409,,8327,3308175,1049545
120106,14010,,8328,3308539,1069652
128113,1503,,8331,7361524,2648268
128111,1504,,8332,10641751,3989512
128112,1505,,8333,2107449,879741
128109,1506,,8334,16742220,7121301
128110,1507,,8335,7382438,2316086
129100,1603,,8338,21169088,8589320
129106,1604,,8339,18628624,7946065
129104,1605,,8340,5207543,1830843
129103,1606,,8341,3262366,873845
129101,1607,,8342,2144606,637157
129107,1608,,8343,3127484,1112903
129108,1609,,8344,2458490,560101
121113,1704,,8348,3425557,1308674
121114,1705,,8349,13904441,11370463
121121,1706,,8350,10152420,6064679
121115,1707,,8351,3281859,1122067
121119,1708,,8352,2646527,789027
121117,1709,,8353,11054225,6139061
121116,17010,,8354,2672838,981584
121118,17011,,8355,2336934,717148
121111,17012,,8356,2430901,717134
121110,17013,,8357,10979172,6861166
121120,17014,,8358,3091608,1425197
121112,17015,,8359,2327272,693630
121109,17016,,8360,79170596,64664442
200717,17017,,--,--,--
122100,1803,,8363,49906891,38923057
122101,1804,,8364,1782585,513755
122102,1805,,8365,2005693,486048
122103,1806,,8366,3527527,818180
122104,1807,,8367,5813504,1615232
122105,1808,,8368,3640852,932532
122106,1809,,8369,2815412,549971
122200,18011,,8371,2464708,823702
123100,1903,,8374,46211245,29381733
123103,1904,,8375,2178367,560633
123101,1905,,8376,3796928,1393703
123102,1906,,8377,2935124,691312
123105,1908,,8379,1556612,505629
124130,2003,,8382,5847202,1543439
124120,2005,,8384,2640515,1212306
124115,2006,,8385,2555130,913293
124145,2007,,8386,2163389,658657
124110,2008,,8387,2025667,775797
124125,2009,,8388,2236646,942171
124140,20010,,8389,1617569,443482
124105,20011,,8390,75943962,50918757
125104,2104,,8396,2047293,398248
125102,2105,,8397,2360828,673087
125103,2106,,8398,2522675,528029
125100,2107,,8399,34761656,15935599
125101,2108,,8400,12999108,4560587
126102,2203,,8405,3256565,1324474
126101,2204,,8406,12754531,4481195
126100,2205,,8407,44747978,25644951
126704,22012,,8414,1594115,793738
112103,2303,,8417,15940491,22117463
112102,2304,,8418,30779397,24100152
112101,2305,,8419,26360265,17422394
112100,2306,,8420,49046468,72476716
112106,2307,,8421,4384012,1669979
112104,2308,,8422,13380060,10426242
112105,2309,,8423,4037280,1522277
112107,23010,,8424,4628182,2624705
114104,23011,,--,--,--
111195,2405,,8429,54516968,26228418
111100,2404,,8428,71731590,49630187
111101,2406,,8430,62283071,36391847
111351,3001,,8467,45969194,28243902
113100,2503,,8434,77802979,59568622
113160,2504,,8435,5417746,13302841
113130,2505,,8436,25155418,12164222
113150,2506,,8437,11463281,3218005
113170,2507,,8438,5341657,1794782
113180,2508,,8439,33579922,18782242
109104,2604,,8443,2766428,861279
109101,2605,,8444,32194763,13792318
109100,2606,,8445,66097123,48052916
109103,2607,,8446,16255061,11097133
109102,2608,,8447,14573586,6487156
110160,2704,,8451,4508647,1087705
110150,2705,,8452,16584128,7683504
110140,2706,,8453,7473877,2836474
110130,2707,,8454,15301871,7432543
110120,2708,,8455,57370976,28615832
110100,2709,,8456,65140354,56204172
110110,27010,,8457,8607285,8562672
114101,2803,,8460,0,0
114102,2804,,8461,0,0
114105,2805,,8462,111125367,73082444
114103,2807,,8464,55895911,50802357
133150,3202,,--,--,--
133165,3203,,--,--,--
133160,3204,,--,--,--
133170,3205,,--,--,--
133155,3206,,--,--,--
123104,1907,,8378,1647285,668183
104102,405,,8213,2083403,427354
133150,3302,,8471,22558213,7819690
133165,3303,,8472,5763852,2351597
133160,3304,,8473,2688516,722488
133170,3305,,8474,1514698,350655
133155,3306,,8475,14590112,4678503
111351,3101,,8468,5796357,4676669
